Req #,Type,Category,Requirement,Priority,Salesforce AFCC Capability,AFCC Product Component,Capability Notes / Fit Assessment,Gaps / Open Questions
PR-1,Product,All 4,Stand up a QSR toll-free number on Service Cloud Voice; build IVR flow with greeting + role capture + category capture,P0,Native Voice (Salesforce-owned telephony or Amazon Connect OEM); Agentforce Voice IVA / Service Cloud Voice Flows,Agentforce Contact Center – Native Voice + Agentforce Voice,"IVR: Greeting → role (1=Franchisee / 2=Store Manager / 3=Store Operator) → category (1=Order / 2=Driver / 3=Complaint / 4=Item) → FID prompt → Omni-Channel route. Role + category + FID written to Voice Call record.",Open Q4: Amazon Connect OEM vs BYOT lead time
PR-2,Product,All 4,Create a QSR skill in Salesforce Omni-Channel with skill-based routing rules; assign trained QSR agents,P0,Enhanced Omni-Channel Routing – skill-based routing; Omni-Channel presence for agent availability,Agentforce Contact Center – Enhanced Omni-Channel Routing,"QSR skill covers: order-flow (OMS → Subway API → POS), 3 LMD codes, driver/un-batch flow, complaint handling, item signalling. Agents assigned to skill; presence config controls capacity.",Open Q2: Staffing forecast for 2 CT pilot stores and Subway scale (1300 stores)
PR-3,Product,All 4,Role + category captured in IVR written onto Voice Call record; Service Console opens Case natively on call accept; category drives visible sub-tab,P0,Native Voice Call-to-Case linkage; Service Console (agent workspace) with Lightning App Builder sub-tabs,Agentforce Contact Center – Native Voice + Service Console,"No external CTI needed. Service Console opens natively on call accept showing: caller role, category, FID/Store ID, Linked Case ID + timeline. Category drives which Lightning component sub-tab is visible (Order/Driver/Complaint/Item).",None – native to Service Cloud Voice + Console
PR-4,Product,Order + Driver,Mandatory Case-close disposition field with LMD codes; validation rule blocks save if empty; feeds LMD Dashboard,P0,Case Management – custom picklist field + Salesforce validation rule; Salesforce Reports / data pipe to Power BI,Agentforce Contact Center – Case Management + Salesforce Flow,"LMD650 / LMD651 / LMD652 + Complaint / Item / Other picklist. Validation rule enforces fill-before-save. Report feeds LMD Power BI via Salesforce data pipe or CRM Analytics.",None – standard Salesforce configuration
PR-5,Product,Order,Order Lookup Lightning Component: query OMS by order ID / customer name / FID + time-window; display POS status / adapter timestamp / driver status,P0,Custom Lightning Component embedded in Service Console; Salesforce Apex / External Services callout to OMS + Subway API adapter,Agentforce Contact Center – Service Console + Custom Lightning Component,"Order Lookup component: query by order ID / customer name / FID + time-window. Shows: POS-received status, Subway API adapter timestamp, driver-assigned status. Enables live LMD652 disposition.",OMS + Subway API adapter API contract needed (Michelle Fultz). API authentication + data model TBD.
PR-6,Product,Driver,"Driver Lightning Component: current driver, ETA, wait-time; one-click Un-batch action; warm-transfer to Spark driver support",P0,Custom Lightning Component; Salesforce Flow / Apex callout to LMD un-batch API; Omni-Channel warm transfer,Agentforce Contact Center – Service Console + Omni-Channel Routing,"Driver component: assigned driver, ETA, wait-time-so-far. Un-batch button triggers Flow/Apex → LMD API. Warm-transfer to Spark driver support queue via Omni-Channel with call context preserved.",LMD un-batch API contract (Edwin Ortiz). Spark driver support queue must exist in Omni-Channel.
PR-7,Product,Complaint,Complaint intake Lightning form: complaint type / severity / customer contact / action taken; auto-populates linked Case; sets RecordType = Complaint,P0,Custom Lightning Form on Service Console; Case object field mapping; Case RecordType = Complaint,Agentforce Contact Center – Service Console + Case Management,"Form fields: complaint type (food quality / missing item / cold food / wrong order / driver behavior / allergen), severity, customer contact, action taken. Auto-populates Case fields. RecordType = Complaint triggers appropriate Case layout.",Complaint hand-back policy (to standard Customer Care vs QSR) needs written definition – Open Q9
PR-8,Product,Item,"Item Signal Lightning form: item ID/name, issue type, duration; on save creates child Case routed to adapter/catalog queue",P1,Custom Lightning Form; Case object child record creation; Omni-Channel or Salesforce Flow queue routing,Agentforce Contact Center – Service Console + Case Management + Salesforce Flow,"Form: item ID/name, issue (OOS / wrong-price / wrong-image / modifier-not-supported / not-carried-here), duration (right-now / today / ongoing). Child Case auto-created + routed to adapter/catalog queue.",Open Q8: Single triage owner needed. Queue configuration pending owner decision.
PR-9,Product,Complaint,"Allergen / food-safety fast-track: Allergen checkbox on complaint form triggers P0 Flow alert to Compliance + Partner Services queue within 15 min; blocks Case-close until Compliance ack",P0,Salesforce Flow with time-based action (15-min SLA); Case validation rule; Omni-Channel Compliance on-call queue,Agentforce Contact Center – Salesforce Flow + Case Management + Omni-Channel Routing,"Allergen checkbox on Complaint form → Flow fires P0 alert to Compliance + Partner Services queue → 15-min SLA enforced. Validation rule blocks Case-close until Compliance acknowledgement field = TRUE.",Open Q7: Compliance queue owner + 15-min SLA Flow build owner (Compliance/Legal TBD)
PR-10,Product,All 4,"Voice Call → Case pinning: on call accept, Flow queries open Cases by phone/FID/active-order-ID; links if found, auto-creates if not; tagged QSR-Voice + category",P0,Service Cloud Voice native call-to-case; Salesforce Flow on Voice Call Accepted trigger; Case object,Agentforce Contact Center – Native Voice + Salesforce Flow,Fully native Service Cloud Voice capability. Flow fires on call accept. Match logic: phone + FID + 30-day window. Creates tagged Case if no match found.,Open Q6: Match key validation (FID + phone + 30-day window) needs Salesforce eng sign-off
PR-11,Product,All 4,Service Console displays Case timeline for Account/FID showing prior email cases + voice calls within last 30 days,P1,Case Timeline (native Service Console component); Related List / Case History filtered to 30 days,Agentforce Contact Center – Service Console + Case Management,"Case timeline native to Service Console. Shows prior email cases + voice calls for same Account/FID, 30-day filter. Agent picks up context without asking caller to repeat.",None – native Service Console configuration
PR-12,Product,All 4,Real-time voice transcription; post-call auto-summary via Einstein appended to Case.Description; agent edits before save; optional Einstein auto-tags LMD code / complaint type / item ID,P1,Einstein for Service – Conversation Insights + Auto-Summary; Service Cloud Voice real-time transcription,Agentforce Contact Center – Einstein for Service,"Real-time transcription via Service Cloud Voice. Post-call: Einstein generates summary appended to Case.Description. Agent reviews + edits. Optional: Einstein auto-tags LMD code / complaint type / item ID from transcript.",Einstein for Service licensing required – Open Q12. Accuracy for restaurant/QSR domain may need tuning.
PR-13,Product,All 4,Configure Service Cloud Voice callback: Press 1 to hold place and get callback; voicemail transcribed to Case with 4-hr SLA; Flow enforces SLA + creates follow-up tasks,P1,Native Service Cloud Voice callback + voicemail transcription; Salesforce Flow SLA enforcement,Agentforce Contact Center – Native Voice + Salesforce Flow,"Native capability: in-queue callback option, voicemail → Case creation with transcript, Flow-enforced 4-hr SLA, follow-up task creation.",Open Q1: Coverage hours decision impacts when callback SLA clock starts
PR-14,Product,All 4,"Configure Omni-Channel transfer actions with call context preserved: transfer to AJ Claessens (backend), Spark driver support, Compliance on-call",P1,Enhanced Omni-Channel Routing – warm transfer with context; Omni-Channel transfer actions configuration,Agentforce Contact Center – Enhanced Omni-Channel Routing,"Warm transfer actions configured in Omni-Channel: AJ Claessens queue (backend escalation), Spark driver support queue (driver behavior/batching), Compliance on-call queue (allergen/food safety). Call context (Case + Voice Call) preserved on transfer.",Spark driver support queue + Compliance queue must be configured in Omni-Channel first
PR-15,Product,All 4,Standard call recording per Walmart policy with IVR disclosure; Shield event monitoring on Voice Call + Case; no PCI data,P0,Native Service Cloud Voice recording + retention; Salesforce Shield event monitoring,Agentforce Contact Center – Native Voice + Salesforce Shield,"IVR greeting disclosure built into Service Cloud Voice Flow. Recording retention set per Walmart policy. Shield event monitoring on Voice Call + Case objects for full audit trail. No PCI in scope (no payment data captured by design).",Compliance/Legal (TBD) to provide retention period + disclosure script
PR-16,Product,All 4,"Native Salesforce reports on Voice Call + Case: call volume by category, AHT by category, LMD rate, complaint-severity mix, item-signal volume; feeds LMD Dashboard via data pipe",P1,Salesforce Reports + Dashboards; CRM Analytics / Tableau; data pipe to Power BI LMD Dashboard,Agentforce Contact Center – Salesforce Reports + CRM Analytics / Tableau,"Native Voice Call + Case objects support standard Salesforce reporting. Key metrics: call volume by category, disposition-code volume, average AHT, LMD650/651/652 rate, complaint-severity mix, item-signal volume by store. Data pipe to Power BI for LMD Dashboard.",Data pipe / CRM Analytics / Tableau connector configuration needed – scope with Salesforce platform team
PR-17,Product,All 4,"Publish QSR voice number in: Seller Center welcome-kit, store-employee signage/job-aid, driver in-app deep-link, restaurant onboarding pack",P1,No Salesforce product component – operational rollout task,N/A – Operational / Go-to-Market,Number publishing is an operational task coordinated by Business/Ops + Partner Services. Salesforce platform has no dependency here.,Open Q10: Which channels reach store associates vs franchisees vs drivers? Coordinated rollout plan needed.
UC-1,Use Case,ORDER,Order not received at store / not on POS (LMD652 candidate),P0,Service Cloud Voice + Service Console + Case Management; Order Lookup Lightning Component,Agentforce Contact Center – Native Voice + Case Management + Custom Component,IVR routes to QSR skill → Agent opens Console → Order Lookup component queries OMS → LMD652 disposition captured on Case.,OMS API + Subway API adapter contract (Michelle Fultz)
UC-2,Use Case,ORDER,Order details missing / wrong on POS,P0,Service Console + Case Management; Order Lookup Lightning Component,Agentforce Contact Center – Service Console + Case Management,Agent uses Order Lookup component to verify OMS data vs POS. Case created and disposition recorded.,OMS + Subway API adapter integration
UC-3,Use Case,ORDER,Customer says they ordered but store cannot find it,P0,Service Console + Case Management; Order Lookup Lightning Component (OMS query),Agentforce Contact Center – Service Console + Case Management,Agent queries OMS by order ID / customer name. Case updated with findings.,OMS API
UC-4,Use Case,ORDER,Order auto-refund / cancellation reconciliation,P0,Service Console + Case Management – read-only OMS lookup; Marketplace Payments integration (read-only),Agentforce Contact Center – Service Console + Case Management (Read-Only Lookup),"Agent views payment/refund status from OMS read-only lookup. Case notes reconciliation. No payment action taken on voice channel; payment ops handled separately.",Marketplace Payments read-only API access needed
UC-5,Use Case,DRIVER,Driver not arrived / driver-wait past SLA,P0,Service Console; Driver Lightning Component showing ETA + wait-time; LMD integration,Agentforce Contact Center – Service Console + Custom Driver Component,Driver component shows current driver + ETA + wait-time-so-far. Agent logs wait-SLA breach on Case. LMD codes captured.,LMD + Spark driver systems API (Edwin Ortiz)
UC-6,Use Case,DRIVER,Driver arrived before order ready (prep-time mismatch – LMD650),P0,Service Console; Driver Lightning Component; LMD650 Case disposition,Agentforce Contact Center – Service Console + Case Management,Agent logs LMD650 disposition. Driver component shows driver arrival time vs order-ready time.,Subway API adapter timestamp for order-ready needed (Michelle Fultz)
UC-7,Use Case,DRIVER,Un-batch request from store,P0,Service Console; Driver Component Un-batch quick action; Salesforce Flow/Apex → LMD un-batch API,Agentforce Contact Center – Service Console + Salesforce Flow + External API Callout,One-click Un-batch action in Driver component. Flow/Apex calls LMD un-batch API. Case updated with outcome.,LMD un-batch API contract (Edwin Ortiz) – critical dependency
UC-8,Use Case,DRIVER,Driver behavior / safety report,P0,Omni-Channel warm transfer to Spark driver support queue; Case created in Salesforce,Agentforce Contact Center – Omni-Channel Routing (Warm Transfer) + Case Management,Agent logs behavior complaint on Case then warm-transfers to Spark Driver Team queue. Salesforce Case serves as audit record.,Spark driver support queue must exist in Salesforce Omni-Channel
UC-9,Use Case,COMPLAINT,Customer complaint arriving via store,P0,Service Console; Complaint intake Lightning form; Case RecordType = Complaint; Omni-Channel routing to Customer Care,Agentforce Contact Center – Service Console + Case Management + Omni-Channel Routing,Complaint form captures: type / severity / customer contact / action taken. Case RecordType = Complaint. Hand-back to Customer Care queue per policy.,Open Q9: Written policy for when complaint routes to Customer Care vs stays QSR-side
UC-10,Use Case,COMPLAINT,"Allergen / food-safety complaint (P0 – regulatory)",P0,Salesforce Flow P0 alert within 15 min; Compliance on-call queue in Omni-Channel; Case validation rule blocks close until Compliance ack,Agentforce Contact Center – Salesforce Flow + Omni-Channel + Case Management,"Allergen flag → Flow fires P0 alert to Compliance + Partner Services on-call queue within 15 min. Case blocked from close until Compliance acknowledgement. Full audit trail via Salesforce Shield.",Open Q7: Compliance queue owner + Flow SLA build owner (Compliance/Legal TBD)
UC-11,Use Case,COMPLAINT,Refund / appeasement request received at store,P0,Service Console; Complaint Lightning form; Case routing to Customer Care,Agentforce Contact Center – Service Console + Case Management + Omni-Channel Routing,Agent logs complaint on Case. Refund/appeasement actioned by Customer Care (QSR agents cannot process refunds).,Refund authority policy – QSR agent vs Customer Care distinction needed
UC-12,Use Case,ITEM,Item out of stock right now,P1,Service Console; Item Signal Lightning form; child Case creation routed to adapter/catalog queue via Omni-Channel/Flow,Agentforce Contact Center – Service Console + Case Management + Salesforce Flow,Item Signal form: OOS flag + duration (right-now / today / ongoing). Child Case auto-created + routed to Subway API adapter + catalog team queue.,Open Q8: Triage owner for item signals
UC-13,Use Case,ITEM,Menu item mismatch (Walmart.com vs store),P1,Service Console; Item Signal Lightning form; child Case to adapter/catalog queue,Agentforce Contact Center – Service Console + Case Management + Salesforce Flow,Item Signal form: issue = not-carried-here or wrong-image/description. Child Case routed to Partner Services + catalog team.,Open Q8: Triage owner
UC-14,Use Case,ITEM,"Item price / image / modifier issue",P1,Service Console; Item Signal Lightning form; child Case to adapter/catalog queue,Agentforce Contact Center – Service Console + Case Management + Salesforce Flow,"Item Signal form: issue = wrong-price / wrong-image / modifier-not-supported. Child Case created, routed to catalog/adapter team.",Open Q8: Triage owner
UC-15,Use Case,All,Callback / voicemail after-hours,P1,Native Service Cloud Voice callback + voicemail transcription; Salesforce Flow SLA (4hr); Case creation from voicemail,Agentforce Contact Center – Native Voice + Salesforce Flow,"After-hours: IVR offers voicemail. Voicemail auto-transcribed to Case. Salesforce Flow enforces 4-hr callback SLA + creates agent follow-up task. Coverage hours depend on Open Q1 decision.",Open Q1: Coverage hours (24/7 vs 5am-11pm CT) – Business/Ops decision
OQ-1,Open Question,All,"QSR voice coverage hours – 24/7, business hours, or restaurant hours (5am-11pm CT)?",–,Impacts Omni-Channel queue hours + callback/voicemail Flow config,Agentforce Contact Center – Omni-Channel Queue Config + Native Voice Flow,Queue operating hours configuration in Omni-Channel. After-hours branch in IVR Flow.,Owner: Troy Avidano / Jeff Stanley
OQ-2,Open Question,All,Voice-channel staffing forecast for pilot (2 CT stores) and Subway scale (1300 stores)?,–,Omni-Channel presence + capacity management; Workforce Engagement,Agentforce Contact Center – Workforce Engagement + Command Center for Service,Omni-Channel capacity configuration depends on headcount. Command Center for Service provides supervisor monitoring + AI intelligence.,Owner: Brayden Wood / WFM
OQ-3,Open Question,All,Bilingual coverage – dedicated Spanish QSR agents in Omni-Channel skill or overflow to Spanish general queue?,–,Enhanced Omni-Channel Routing – skill-based routing with language attribute; overflow routing configuration,Agentforce Contact Center – Enhanced Omni-Channel Routing,Language skill attribute added to Omni-Channel. Spanish-language agents assigned to QSR skill or overflow configured to Spanish general queue.,Owner: WFM / CES
OQ-4,Open Question,All,Service Cloud Voice number provisioning – Amazon Connect OEM or BYOT partner? Lead time?,–,Native Voice (Salesforce-owned telephony) or BYOT with Amazon Connect / partner,Agentforce Contact Center – Native Voice or BYOT,"BYOT via Amazon Connect is supported. Native Salesforce Voice also available. Lead time affects go-live. Decision impacts IVR build approach, compliance (STIR/Shaken, E911).",Owner: Salesforce Voice / Platform Eng + Product (Surojit)
OQ-5,Open Question,All,IVR Flow build + Omni-Channel QSR skill config – Salesforce partner or Walmart platform team?,–,Service Cloud Voice Flows; Omni-Channel skill configuration,Agentforce Contact Center – Native Voice + Omni-Channel,Implementation ownership decision. No technical blocker – both options valid.,Owner: Salesforce Voice / Platform Eng + Product
OQ-6,Open Question,All,Cross-channel Case dedup key – FID + phone + 30-day window sufficient for the Flow?,–,Salesforce Flow query logic on Voice Call Accepted; Case object match key,Agentforce Contact Center – Salesforce Flow + Case Management,Match key design affects duplicate case rate. SOQL query performance at scale needs validation.,Owner: Salesforce Eng + Product
OQ-7,Open Question,Complaint,Allergen / food-safety on-call queue – who owns Salesforce queue + Flow-enforced 15-min SLA?,–,Omni-Channel queue configuration; Salesforce Flow with time-based action,Agentforce Contact Center – Omni-Channel + Salesforce Flow,Queue must be created and staffed before go-live. Flow SLA config dependent on queue owner approval.,Owner: Compliance / Legal + Partner Services
OQ-8,Open Question,Item,Item Signal form output routing – single triage owner (PS vs catalog vs Subway adapter)?,–,Omni-Channel queue routing for child Case; Salesforce Flow routing rule,Agentforce Contact Center – Omni-Channel + Salesforce Flow,Single queue owner needed to configure the child Case route in Omni-Channel.,Owner: Partner Services (AJ Claessens) + Catalog
OQ-9,Open Question,Complaint,Complaint hand-back to Customer Care – when does a store-received complaint route out of QSR to standard care?,–,Omni-Channel warm transfer to Customer Care queue; Case RecordType + routing rule,Agentforce Contact Center – Omni-Channel Routing + Case Management,Routing policy needs to be codified as a Salesforce Flow decision node or agent training protocol.,Owner: Care Ops + CES
OQ-10,Open Question,All,"Publish phone number – Seller Center welcome kit, store signage, both, other?",–,No Salesforce product dependency,N/A – Operational,Operational go-to-market task.,Owner: Troy / Jeff + Partner Services
OQ-11,Open Question,All,Voice-channel go-live target – align with email or standalone Phase 1.5?,–,Timeline impacts Salesforce Voice licensing procurement + Omni-Channel config sequencing,Agentforce Contact Center – All,Go-live alignment with email PRD affects resource sequencing.,Owner: Surojit + Troy / Jeff
OQ-12,Open Question,All,Salesforce Voice + Omni-Channel + Einstein licensing / seat count for QSR pilot vs scale?,–,Service Cloud Voice license + Omni-Channel license + Einstein for Service license per seat,Agentforce Contact Center – Licensing,"Unit cost + seat count open. Pilot = 2 CT stores. Scale = 1300 stores + multi-brand. Einstein for Service is optional per PRD (P1 features).",Owner: Troy / Jeff + Salesforce commercial
